fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2021-03-23,11899,1535,10136,1381,0.12900243717959492,0.13624704025256512
2021-03-24,12310,1296,10389,1126,0.10528025995125914,0.1083838675522187
2021-03-25,10935,1151,9406,1030,0.1052583447645176,0.10950457155007443
2021-03-26,9148,1086,7747,977,0.11871447310887626,0.12611333419388152
2021-03-27,3802,438,3216,376,0.11520252498684903,0.11691542288557213
2021-03-28,2038,253,1736,226,0.12414131501472031,0.13018433179723501
2021-03-29,11218,1365,9676,1162,0.12167944375111428,0.12009094667217858
2021-03-30,11572,1238,9956,1086,0.10698237124092637,0.10907995178786661
2021-03-31,9629,1184,8341,1033,0.12296188596946724,0.12384606162330655
2021-04-01,8669,700,7404,604,0.08074749106009921,0.08157752566180443
2021-04-02,5831,558,4926,479,0.09569542102555308,0.09723913926106374
2021-04-03,1504,217,1335,190,0.14428191489361702,0.14232209737827714
2021-04-04,1537,240,1322,189,0.1561483409238777,0.14296520423600606
2021-04-05,10079,1197,8588,1039,0.1187617819228098,0.12098276665114113
2021-04-06,9677,1205,8306,1054,0.12452206262271365,0.12689621960028893
2021-04-07,10153,1159,8742,1031,0.11415345218162119,0.11793639899336536
2021-04-08,10932,1039,9306,916,0.09504207830223198,0.09843111970771545
2021-04-09,9912,1031,8381,901,0.10401533494753834,0.1075050709939148
2021-04-10,3660,458,3154,388,0.1251366120218579,0.12301838934686113
2021-04-11,2833,242,2356,191,0.08542181433109777,0.08106960950764007
2021-04-12,11467,1204,9535,1047,0.10499694776314641,0.10980597797587835
2021-04-13,12885,1178,10861,1009,0.09142413659293752,0.09290120615044656
2021-04-14,10019,832,8650,754,0.08304221978241341,0.08716763005780347
2021-04-15,10482,883,9009,788,0.08423964892196145,0.08746808746808747
2021-04-16,9437,883,8203,771,0.09356787114549116,0.09399000365719859
2021-04-17,3594,320,3168,276,0.08903728436282693,0.08712121212121213
